circuitId,circuit_name,cluster_label
albert_park,Albert Park Grand Prix Circuit,Large Field Spread / Strategy-Dependent
americas,Circuit of the Americas,Large Field Spread / Strategy-Dependent
bahrain,Bahrain International Circuit,Balanced / Standard Racing
baku,Baku City Circuit,High-Overtaking / Fluid Strategy
catalunya,Circuit de Barcelona-Catalunya,Balanced / Standard Racing
hockenheimring,Hockenheimring,High-Overtaking / Fluid Strategy
hungaroring,Hungaroring,Large Field Spread / Strategy-Dependent
imola,Autodromo Enzo e Dino Ferrari,High-Overtaking / Fluid Strategy
interlagos,Autódromo José Carlos Pace,Large Field Spread / Strategy-Dependent
marina_bay,Marina Bay Street Circuit,Large Field Spread / Strategy-Dependent
monaco,Circuit de Monaco,Large Field Spread / Strategy-Dependent
monza,Autodromo Nazionale di Monza,Balanced / Standard Racing
red_bull_ring,Red Bull Ring,Balanced / Standard Racing
rodriguez,Autódromo Hermanos Rodríguez,Balanced / Standard Racing
sepang,Sepang International Circuit,High-Overtaking / Fluid Strategy
shanghai,Shanghai International Circuit,Balanced / Standard Racing
silverstone,Silverstone Circuit,Balanced / Standard Racing
sochi,Sochi Autodrom,Large Field Spread / Strategy-Dependent
spa,Circuit de Spa-Francorchamps,Large Field Spread / Strategy-Dependent
suzuka,Suzuka Circuit,Balanced / Standard Racing
villeneuve,Circuit Gilles Villeneuve,Large Field Spread / Strategy-Dependent
yas_marina,Yas Marina Circuit,Balanced / Standard Racing
